gene	baseMean	log2FoldChange	pvalue	padj
ENSG00000159128.14_IFNGR2	876	0.7	1.778e-05	8.214e-04
ENSG00000217716.3_RPS10P3	12.9	2.7	7.785e-06	8.214e-04
ENSG00000239269.1_RPSAP4	12.9	2	7.906e-06	8.317e-04
ENSG00000226564.1_FTH1P20	376.7	1.9	1.853e-05	8.775e-04
ENSG00000206178.2_HBZP1	125.7	-6.7	2.347e-05	8.814e-04
ENSG00000204427.12_ABHD16A	2856.8	0.6	1.611e-05	9.009e-04
ENSG00000114738.11_MAPKAPK3	3047.1	-1.7	1.772e-05	9.041e-04
ENSG00000160593.19_JAML	206.4	-6.1	2.055e-05	9.041e-04
ENSG00000167244.21_IGF2	1760.2	-3.7	1.753e-05	9.041e-04
ENSG00000169047.5_IRS1	121	-1.8	2.009e-05	9.041e-04
ENSG00000197483.10_ZNF628	555.1	-1.8	2.081e-05	9.041e-04
ENSG00000215899.3_AC209007.1	55	2.6	1.491e-05	9.041e-04
ENSG00000253520.1_AC136628.3	34.4	1.7	2.040e-05	9.041e-04
ENSG00000183579.16_ZNRF3	254.6	-1	2.077e-05	9.231e-04
ENSG00000263563.6_UBBP4	352.2	1.8	2.014e-05	9.231e-04
ENSG00000178922.16_HYI	398.8	1.5	2.104e-05	9.321e-04
ENSG00000074695.6_LMAN1	3759.4	-0.9	1.708e-05	9.498e-04
ENSG00000104177.18_MYEF2	329.3	1.2	2.256e-05	9.614e-04
ENSG00000232346.1_Z74021.1	86.5	1.7	2.170e-05	9.614e-04
ENSG00000167114.13_SLC27A4	428.8	-1	2.211e-05	9.672e-04
ENSG00000198915.11_RASGEF1A	45.5	3	2.250e-05	9.672e-04
