gene	baseMean	log2FoldChange	pvalue	padj
ENSG00000049283.18_EPN3	22.9	2.2	1.082e-04	8.161e-03
ENSG00000196935.9_SRGAP1	19.2	-2.2	1.123e-04	8.274e-03
ENSG00000257335.8_MGAM	57.9	-5.7	1.712e-04	8.274e-03
ENSG00000282907.1_Z98883.1	331.6	2.2	1.964e-04	8.393e-03
ENSG00000178695.6_KCTD12	125.6	-2.5	2.325e-04	8.473e-03
ENSG00000140479.17_PCSK6	757.7	-2.3	1.022e-04	8.713e-03
ENSG00000165801.10_ARHGEF40	178.2	-1.7	1.848e-04	8.713e-03
ENSG00000177575.12_CD163	14.7	-4.9	1.004e-04	8.713e-03
ENSG00000134504.14_KCTD1	69.4	1	1.884e-04	8.925e-03
ENSG00000186104.10_CYP2R1	221.3	-0.6	2.501e-04	8.968e-03
ENSG00000135378.4_PRRG4	163.6	2.2	2.520e-04	9.005e-03
ENSG00000110395.7_CBL	532.8	-1.6	1.931e-04	9.063e-03
ENSG00000213398.8_LCAT	316.1	1.2	2.205e-04	9.154e-03
ENSG00000205336.12_ADGRG1	1452.7	1.3	1.668e-04	9.440e-03
ENSG00000183971.8_NPW	43.4	3.4	2.775e-04	9.792e-03
ENSG00000050767.17_COL23A1	14.2	-2.7	8.798e-05	9.847e-03
ENSG00000273003.1_ARL2-SNX15	12.1	-32.1	1.009e-04	9.911e-03
ENSG00000237749.4_AL034379.1	36.5	1.6	2.842e-04	9.932e-03
